#Id,ConnectFee,Rate,RateUnit,RateIncrement,GroupIntervalStart
RT_145,0,0.3942,60s,1s,60s
RT_146,0.44,0.1760,60s,60s,0s
RT_147,0.00,0.5002,60s,60s,0s
RT_147,0,0.2501,60s,1s,60s
RT_148,0.55,0.8867,60s,60s,0s
RT_148,0,0.4434,60s,1s,60s
RT_149,0.08,0.3675,60s,60s,0s
RT_149,0,0.1837,60s,1s,60s
RT_150,0.63,0.7551,60s,60s,0s
RT_151,0.19,0.0796,1s,1s,0s
RT_152,0.75,0.4678,1s,1s,0s
RT_153,0.28,0.9489,60s,60s,0s
RT_154,0.84,0.2815,60s,60s,0s
RT_155,0.40,0.6686,1s,1s,0s
RT_156,0.05,0.1175,1s,1s,0s
RT_157,0.61,0.5358,1s,1s,0s
RT_158,0.16,0.8607,60s,60s,0s
RT_158,0,0.4303,60s,1s,60s
RT_159,0.72,0.2478,60s,60s,0s
RT_160,0.25,0.6975,60s,60s,0s
RT_161,0.80,0.1133,60s,60s,0s
RT_162,0.36,0.4376,60s,60s,0s
RT_163,0.89,0.8174,60s,60s,0s
RT_163,0,0.4087,60s,1s,60s
RT_164,0.44,0.2670,60s,60s,0s
RT_164,0,0.1335,60s,1s,60s
RT_165,0.00,0.6847,1s,1s,0s
RT_166,0.56,0.0094,1s,1s,0s
RT_167,0.08,0.3963,60s,60s,0s
RT_167,0,0.1982,60s,1s,60s
RT_168,0.65,0.8463,1s,1s,0s
RT_169,0.21,0.2648,1s,1s,0s
RT_170,0.86,0.5905,60s,60s,0s
RT_171,0.42,0.9778,60s,60s,0s
RT_171,0,0.4889,60s,1s,60s
RT_172,0.97,0.4273,60s,60s,0s
RT_173,0.53,0.8537,60s,60s,0s
RT_173,0,0.4269,60s,1s,60s
RT_174,0.06,0.1779,60s,60s,0s
RT_175,0.61,0.5646,1s,1s,0s
RT_176,0.17,0.0144,1s,1s,0s
RT_177,0.70,0.4329,60s,60s,0s
RT_178,0.25,0.7576,60s,60s,0s
RT_178,0,0.3788,60s,1s,60s
RT_179,0.81,0.1499,1s,1s,0s
RT_180,0.37,0.5996,1s,1s,0s
RT_181,0.89,0.9870,60s,60s,0s
RT_181,0,0.4935,60s,1s,60s
RT_182,0.45,0.3348,60s,60s,0s
RT_182,0,0.1674,60s,1s,60s
RT_183,0.02,0.7215,60s,60s,0s
RT_184,0.66,0.1708,60s,60s,0s
RT_185,0.23,0.5584,60s,60s,0s
RT_185,0,0.2792,60s,1s,60s
RT_186,0.78,0.9143,60s,60s,0s
RT_187,0.33,0.3012,1s,1s,0s
RT_188,0.86,0.7522,1s,1s,0s
RT_189,0.42,0.1394,1s,1s,0s
RT_190,0.97,0.4955,1s,1s,0s
RT_191,0.51,0.8824,60s,60s,0s
RT_191,0,0.4412,60s,1s,60s
RT_192,0.06,0.3393,60s,60s,0s
RT_193,0.62,0.6639,1s,1s,0s
RT_194,0.18,0.0824,1s,1s,0s
RT_195,0.70,0.5322,60s,60s,0s
RT_196,0.26,0.9193,60s,60s,0s
RT_196,0,0.4597,60s,1s,60s
RT_197,0.82,0.2411,1s,1s,0s
RT_198,0.47,0.6596,60s,60s,0s
RT_198,0,0.3298,60s,1s,60s
RT_199,0.03,0.1095,60s,60s,0s
